# MIROC_ES2L ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.02,2.90,1.60,3.09,1.36,2.27,2.25,2.79,3.52,3.78,3.37,4.35,3.38,2.55,2.54,2.40,3.46,2.60,2.18,2.46,2.73,2.37,2.14,3.27
Daily maximum near surface air temperature,tasmax,∆°C,1.63,2.95,1.69,3.62,1.38,3.09,2.76,3.85,4.24,4.97,3.76,5.16,3.70,3.00,2.68,2.85,3.88,3.32,2.47,3.44,3.01,2.77,2.40,2.89
Daily minimum near surface air temperature,tasmin,∆°C,0.61,3.36,1.59,3.24,1.43,2.15,1.77,1.94,2.79,2.63,2.95,3.46,3.10,2.07,2.51,1.97,3.12,2.12,1.96,1.95,2.62,2.71,2.04,4.00
Precipitation,pr,fraction,0.79,0.70,1.15,0.94,1.10,0.91,0.83,0.71,0.75,0.75,0.62,0.87,0.71,0.93,0.88,0.98,0.62,0.68,0.91,0.84,0.89,0.81,0.91,0.84
Surface downwelling shortwave radiation,rsds,∆W/m²,10.30,21.98,-1.36,28.91,-0.42,34.98,6.13,35.50,9.39,35.14,-0.61,30.51,-10.15,29.83,-3.50,30.52,8.79,23.81,4.31,25.38,-0.42,25.92,4.09,25.92
Total cloud cover percentage,clt,∆%,-9.04,20.57,1.70,21.17,1.04,19.18,-3.65,16.88,-5.79,16.74,-0.28,12.50,1.27,10.68,-0.77,12.07,-6.26,12.01,-3.67,16.80,-0.06,23.20,-4.18,26.63
Snow depth,snd,fraction,0.99,1.00,0.04,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,1.00
Near surface specific humidity,huss,∆kg/kg,0.000098,0.001597,0.000697,0.001720,0.000590,0.001363,0.000530,0.001218,0.000788,0.001351,0.000363,0.002024,0.001019,0.001713,0.001164,0.001305,0.000868,0.001545,0.000647,0.001629,0.001212,0.001768,0.000783,0.001963
Air pressure at mean sea level,psl,∆hPa,2.00,8.24,-0.78,7.27,-0.43,6.78,0.51,3.98,-0.41,2.48,-0.47,2.30,-0.46,1.88,-0.23,1.86,-0.32,2.25,0.22,3.34,-0.27,6.67,0.65,8.46
Near surface wind speed,sfcWind,fraction,0.8834,0.4414,0.9689,0.4368,1.0155,0.4228,1.0211,0.3874,1.0095,0.3551,0.9972,0.3961,0.9575,0.4073,0.9948,0.4230,0.9769,0.3658,0.9523,0.3656,0.9537,0.4651,0.9550,0.5136
