# MRI_ESM2_0 ssp585 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,2.06,2.55,2.34,3.45,2.62,3.51,3.08,3.26,4.42,4.42,6.10,3.66,6.80,4.42,6.05,3.14,4.99,3.25,3.59,3.30,2.81,2.69,2.77,2.73
Daily maximum near surface air temperature,tasmax,∆°C,2.34,2.45,2.42,3.92,3.01,4.44,3.65,4.11,5.30,5.64,6.84,4.65,7.53,5.43,6.61,3.97,5.46,3.85,3.76,4.54,3.05,3.24,2.87,2.69
Daily minimum near surface air temperature,tasmin,∆°C,1.89,2.79,2.31,3.53,2.30,3.33,2.58,2.86,3.62,3.39,5.45,2.80,6.18,3.47,5.44,2.48,4.54,2.94,3.44,2.69,2.72,2.67,2.74,2.98
Precipitation,pr,fraction,0.61,0.65,0.83,1.04,0.64,0.84,0.51,0.52,0.50,0.57,0.46,0.54,0.62,0.78,0.28,0.37,0.41,0.51,0.87,0.96,0.63,0.66,0.70,0.76
Surface downwelling shortwave radiation,rsds,∆W/m²,6.70,24.75,-3.96,37.95,2.25,47.72,7.06,33.05,15.79,48.41,6.77,27.25,-1.36,20.27,1.62,19.25,3.11,22.86,-0.32,29.84,3.97,24.80,1.97,24.80
Total cloud cover percentage,clt,∆%,-2.31,27.73,3.71,33.18,-1.21,33.15,-6.64,22.12,-9.92,22.77,-6.96,16.54,-4.02,14.32,-4.35,14.74,-8.61,19.95,-2.85,26.59,2.98,24.13,3.38,25.47
Snow depth,snd,fraction,0.96,1.00,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,1.00
Near surface specific humidity,huss,∆kg/kg,0.000512,0.001579,0.000592,0.001498,0.000242,0.001750,0.000357,0.001359,0.000199,0.001910,0.000996,0.002420,0.001017,0.002569,0.001064,0.001857,0.001211,0.001835,0.001405,0.001957,0.001011,0.001519,0.000901,0.001489
Air pressure at mean sea level,psl,∆hPa,2.04,8.83,-0.53,11.89,1.16,9.98,0.59,4.48,-0.37,4.21,-1.52,2.49,-1.98,1.65,-2.29,2.28,-1.16,2.75,-0.28,4.88,-0.33,6.99,1.58,7.85
Near surface wind speed,sfcWind,fraction,0.9736,0.3834,1.0116,0.4555,1.0053,0.4101,1.0136,0.3622,1.0224,0.3460,1.0556,0.3882,1.0961,0.4160,1.0492,0.3448,1.0073,0.3229,0.9814,0.3754,0.9082,0.3793,0.9834,0.4381
