# UKESM1_0_LL ssp370 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,3.94,2.68,3.78,2.31,3.52,2.30,4.10,3.16,5.44,3.27,5.00,3.28,4.98,2.99,4.64,2.84,4.64,2.80,5.27,2.74,4.51,2.77,4.02,3.07
Daily maximum near surface air temperature,tasmax,∆°C,4.36,2.59,4.32,3.01,3.89,3.78,5.02,4.74,6.52,4.43,5.71,3.96,5.16,3.30,4.78,3.38,4.83,3.51,6.19,3.77,5.52,3.29,4.52,2.88
Daily minimum near surface air temperature,tasmin,∆°C,3.75,3.20,3.41,2.89,3.25,2.31,3.18,2.49,4.34,2.69,4.22,3.23,4.81,3.14,4.54,2.67,4.45,2.77,4.56,3.39,3.89,3.40,3.78,3.58
Precipitation,pr,fraction,0.83,1.07,0.73,0.97,1.15,1.42,0.61,0.75,0.58,0.70,0.67,0.81,0.35,0.56,0.33,0.55,0.45,0.66,0.57,0.66,0.45,0.51,0.80,0.88
Surface downwelling shortwave radiation,rsds,∆W/m²,4.17,28.42,6.91,39.43,6.04,43.01,25.39,44.93,11.64,37.22,5.06,26.91,1.90,19.71,2.75,13.45,4.50,14.14,9.06,22.87,10.49,22.31,4.68,22.31
Total cloud cover percentage,clt,∆%,-2.37,31.06,-3.76,32.90,-9.15,28.30,-16.62,25.36,-12.74,20.11,-6.75,18.92,-8.02,15.64,-9.22,9.82,-15.82,16.02,-15.74,19.50,-13.75,25.79,-8.08,28.47
Snow depth,snd,fraction,0.39,1.00,1.75,1.00,0.89,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.55,1.00
Near surface specific humidity,huss,∆kg/kg,0.001666,0.001513,0.001509,0.001513,0.001233,0.001540,0.001091,0.001666,0.001565,0.001739,0.001720,0.002103,0.002007,0.001821,0.002059,0.001531,0.002282,0.001952,0.002550,0.002417,0.002074,0.002090,0.001792,0.001753
Air pressure at mean sea level,psl,∆hPa,-1.25,8.56,-0.69,9.14,-1.13,7.31,-0.18,4.43,-1.43,3.04,-0.69,2.44,-0.94,2.09,-1.69,1.80,-0.18,1.84,-0.10,3.25,0.83,4.96,-0.51,6.79
Near surface wind speed,sfcWind,fraction,0.8608,0.4642,0.8659,0.4533,1.0092,0.4564,0.9746,0.3826,0.9644,0.3701,0.9895,0.3326,0.9890,0.3075,0.9767,0.2945,0.9119,0.3338,0.8886,0.3288,0.8286,0.4035,0.8763,0.4237
