# Ensemble rcp26 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.50,0.00,0.94,0.00,1.15,0.00,0.75,0.00,0.83,0.00,0.91,0.00,1.11,0.00,1.24,0.00,1.49,0.00,1.19,0.00,0.52,0.00,0.73,0.00
Daily maximum near surface air temperature,tasmax,∆°C,0.56,0.00,1.04,0.00,1.14,0.00,0.65,0.00,0.66,0.00,0.83,0.00,1.24,0.00,1.29,0.00,1.81,0.00,1.29,0.00,0.65,0.00,0.88,0.00
Daily minimum near surface air temperature,tasmin,∆°C,0.48,0.00,0.91,0.00,1.08,0.00,0.88,0.00,1.06,0.00,1.01,0.00,0.98,0.00,1.17,0.00,1.34,0.00,1.15,0.00,0.44,0.00,0.65,0.00
Precipitation,pr,fraction,1.07,0.00,0.97,0.00,1.11,0.00,1.25,0.00,1.09,0.00,0.99,0.00,0.85,0.00,1.06,0.00,0.87,0.00,0.92,0.00,0.98,0.00,0.98,0.00
Surface downwelling shortwave radiation,rsds,∆W/m²,0.13,0.00,0.42,0.00,-6.37,0.00,-2.83,0.00,-5.75,0.00,2.21,0.00,10.35,0.00,-0.71,0.00,6.13,0.00,1.14,0.00,-0.04,0.00,0.04,0.00
Total cloud cover percentage,clt,∆%,-1.25,0.00,-1.32,0.00,2.53,0.00,1.86,0.00,1.65,0.00,0.42,0.00,-2.88,0.00,-1.49,0.00,-1.45,0.00,-1.33,0.00,-0.75,0.00,-0.95,0.00
Snow depth,snd,fraction,0.86,0.00,0.75,0.00,0.62,0.00,0.47,0.00,0.53,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.26,0.00,0.68,0.00,0.85,0.00
Near surface specific humidity,huss,∆kg/kg,0.000208,0.000000,0.000280,0.000000,0.000470,0.000000,0.000303,0.000000,0.000450,0.000000,0.000590,0.000000,0.000397,0.000000,0.000395,0.000000,0.000527,0.000000,0.000460,0.000000,0.000162,0.000000,0.000281,0.000000
Air pressure at mean sea level,psl,∆hPa,-1.24,0.00,-1.57,0.00,-2.22,0.00,-1.51,0.00,0.07,0.00,0.66,0.00,1.63,0.00,1.27,0.00,0.78,0.00,0.07,0.00,1.65,0.00,2.33,0.00
Near surface wind speed,sfcWind,fraction,0.9861,0.0000,1.0286,0.0000,1.0093,0.0000,1.0561,0.0000,0.9880,0.0000,0.9576,0.0000,0.9478,0.0000,0.9520,0.0000,0.9441,0.0000,0.9859,0.0000,0.9938,0.0000,0.9365,0.0000
