# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,0.78,0.75,1.03,2.24,1.47,1.60,1.67,1.59,1.46,1.18,1.00,0.82
Ground Temperatures,∆°C,depth 2.0 m,0.89,0.86,1.01,1.87,1.34,1.46,1.55,1.53,1.47,1.27,1.14,0.97
Ground Temperatures,∆°C,depth 4.0 m,1.02,0.98,1.04,1.57,1.25,1.34,1.43,1.44,1.42,1.31,1.22,1.09
N6 Dry Bulb Temperature,∆°C,-,0.3955,1.0416,0.7842,1.2987,1.4551,1.3605,2.0086,1.8781,1.4685,1.2231,0.7731,0.9803
N7 Dew Point Temperature,∆°C,-,0.5304,1.1050,0.8851,1.5302,1.5544,1.0407,0.9900,1.1072,0.7772,1.0730,0.7501,1.0149
N8 Relative Humidity,∆%,-,0.9808,0.6832,0.6163,1.4902,0.6313,-1.1733,-4.2290,-3.2670,-2.9654,-0.5454,0.1414,0.9664
N9 Atmospheric Station Pressure,∆Pa,-,-145.3686,96.3864,-179.4058,46.7999,182.0182,231.0560,127.8019,85.6630,147.4153,-26.0348,331.9720,181.8974
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,21.1814,27.9807,31.1545,24.7375,26.0445,33.1000,35.3868,33.9131,26.6977,28.6365,27.3787,25.0957
N13 Global Horizontal Radiation,∆Wh/m²,-,0.3915,-1.8846,-4.3422,-0.5550,1.3701,9.1379,15.2515,2.9768,8.8022,0.5766,1.4261,-0.6469
N14 Direct Normal Radiation,∆Wh/m²,-,-3.5136,-14.4088,-12.0101,-5.5576,-6.3818,7.9756,19.9097,-3.4285,8.2928,-3.7555,0.5705,-5.3600
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.1236,2.5825,1.0649,1.7571,2.7895,2.6034,0.3336,3.2090,3.7391,1.7309,1.4356,0.6665
N16 Global Horizontal Illuminance,∆lux,-,33.5782,-180.1875,-417.5758,-14.8050,210.3778,951.5448,1534.5716,333.6966,939.2864,56.5529,145.3509,-55.4059
N17 Direct Normal Illuminance,∆lux,-,-336.4485,-1279.2469,-1143.8233,-557.8077,-522.3789,860.6333,2150.6086,-249.4017,790.6097,-349.8779,-39.9478,-437.0603
N18 Diffuse Horizontal Illuminance,∆lux,-,122.4873,233.4044,86.5270,213.5033,245.2178,191.7976,-108.6407,288.1981,429.2215,165.2980,125.3357,40.2940
N19 Zenith Luminance,∆Cd/m²,-,47.5134,126.6362,194.3507,166.2904,189.5777,77.7027,-38.4561,182.6666,155.2158,104.6905,80.4015,22.6064
N21 Wind Speed,∆m/s,-,0.0287,-0.0482,-0.1058,0.0035,-0.1271,-0.1629,-0.1495,-0.0873,-0.1368,-0.0092,-0.0931,-0.0681
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.2980,-0.8592,-1.0832,-0.9296,-0.0240,0.0000,0.0000,-0.0153,-0.6012,-0.4718,-0.3226
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
