# ICHEC_EC_EARTH_SMHI_RCA4 rcp26 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,0.50,2.76,0.94,3.30,1.15,2.78,0.75,2.24,0.83,2.18,0.91,1.98,1.11,2.74,1.24,3.04,1.49,2.55,1.19,2.31,0.52,2.65,0.73,3.25
Daily maximum near surface air temperature,tasmax,∆°C,0.56,2.73,1.04,3.13,1.14,3.00,0.65,2.40,0.66,2.58,0.83,2.43,1.24,3.86,1.29,4.40,1.81,3.28,1.29,2.32,0.65,2.32,0.88,3.12
Daily minimum near surface air temperature,tasmin,∆°C,0.48,2.72,0.91,3.10,1.08,2.47,0.88,2.26,1.06,1.95,1.01,1.80,0.98,2.08,1.17,2.21,1.34,2.40,1.15,2.46,0.44,2.73,0.65,3.18
Precipitation,pr,fraction,1.07,0.82,0.97,0.78,1.11,0.91,1.25,0.93,1.09,0.81,0.99,0.77,0.85,0.78,1.06,0.89,0.87,0.72,0.92,0.75,0.98,0.67,0.98,0.71
Surface downwelling shortwave radiation,rsds,∆W/m²,0.13,6.07,0.42,16.75,-6.37,18.76,-2.83,24.25,-5.75,35.01,2.21,37.79,10.35,45.96,-0.71,42.04,6.13,25.36,1.14,14.43,-0.04,7.93,0.04,7.93
Total cloud cover percentage,clt,∆%,-1.25,12.03,-1.32,16.64,2.53,14.34,1.86,14.51,1.65,12.60,0.42,12.62,-2.88,14.54,-1.49,15.59,-1.45,14.02,-1.33,11.80,-0.75,12.39,-0.95,13.55
Snow depth,snd,fraction,0.86,0.71,0.75,0.69,0.62,0.70,0.47,0.69,0.53,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.26,0.54,0.68,0.82,0.85,0.78
Near surface specific humidity,huss,∆kg/kg,0.000208,0.000832,0.000280,0.001066,0.000470,0.001086,0.000303,0.001033,0.000450,0.001050,0.000590,0.001004,0.000397,0.001199,0.000395,0.001058,0.000527,0.001000,0.000460,0.001069,0.000162,0.001018,0.000281,0.001031
Air pressure at mean sea level,psl,∆hPa,-1.24,14.51,-1.57,12.86,-2.22,11.81,-1.51,10.92,0.07,7.51,0.66,6.01,1.63,5.03,1.27,4.76,0.78,7.07,0.07,10.63,1.65,11.07,2.33,13.12
Near surface wind speed,sfcWind,fraction,0.9861,0.4802,1.0286,0.5169,1.0093,0.4833,1.0561,0.4594,0.9880,0.4178,0.9576,0.4084,0.9478,0.3880,0.9520,0.3824,0.9441,0.4326,0.9859,0.4441,0.9938,0.4561,0.9365,0.4432
