# BCC_CSM2_MR ssp370 2050
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.55,2.08,1.40,2.06,1.43,2.02,1.58,2.18,1.62,2.17,1.96,2.75,2.37,2.91,1.71,2.57,1.58,2.09,1.09,1.89,1.19,1.53,1.40,1.67
Daily maximum near surface air temperature,tasmax,∆°C,1.55,2.09,1.42,2.09,1.46,2.11,1.62,2.36,1.69,2.34,2.08,3.06,2.45,3.24,1.71,2.86,1.61,2.38,1.11,2.06,1.18,1.52,1.40,1.62
Daily minimum near surface air temperature,tasmin,∆°C,1.54,2.07,1.35,2.02,1.39,1.94,1.56,2.01,1.56,1.99,1.83,2.43,2.28,2.60,1.72,2.37,1.56,1.88,1.04,1.77,1.21,1.55,1.40,1.72
Precipitation,pr,fraction,1.13,0.73,1.11,0.83,1.07,0.81,0.98,0.87,0.83,0.69,1.06,0.95,0.87,0.83,0.98,0.92,0.94,0.85,1.13,0.92,0.88,0.56,1.29,0.87
Surface downwelling shortwave radiation,rsds,∆W/m²,0.21,7.64,2.11,17.08,4.41,26.82,10.28,42.84,18.89,45.98,15.53,63.15,19.06,55.14,13.89,40.89,9.96,32.90,2.83,22.16,1.50,7.45,0.56,7.45
Total cloud cover percentage,clt,∆%,0.73,11.19,-1.37,15.67,-1.69,13.85,-0.68,11.78,-4.23,11.53,-1.53,13.10,-1.96,13.62,-3.14,11.89,-2.32,11.61,-2.58,12.36,0.86,9.73,1.04,12.36
Snow depth,snd,fraction,0.15,0.28,0.20,0.42,0.03,0.04,9.01,108.50,0.96,0.96,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.96,0.02,0.96,0.16,0.32
Near surface specific humidity,huss,∆kg/kg,0.000818,0.001370,0.000471,0.001169,0.000379,0.001049,0.000527,0.000940,0.000338,0.000853,0.000658,0.001062,0.000507,0.001112,0.000342,0.001212,0.000499,0.001360,0.000100,0.001179,0.000620,0.000990,0.000660,0.001311
Air pressure at mean sea level,psl,∆hPa,-2.53,10.97,0.55,14.60,0.64,10.96,1.43,12.21,1.03,7.97,1.16,7.64,0.14,5.50,0.55,6.06,0.69,7.17,-0.74,9.05,3.29,11.27,-1.00,13.59
Near surface wind speed,sfcWind,fraction,1.0254,0.4286,1.0040,0.4366,1.0221,0.4487,1.0196,0.4035,1.0014,0.3986,0.9760,0.3761,1.0100,0.3978,1.0184,0.4068,0.9420,0.3384,1.1027,0.4335,1.0150,0.3841,1.0539,0.4272
