# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,0.90,0.82,0.99,2.05,1.13,1.16,1.20,1.18,1.16,1.03,1.00,0.92
Ground Temperatures,∆°C,depth 2.0 m,0.94,0.89,0.98,1.74,1.09,1.12,1.16,1.15,1.16,1.06,1.04,0.97
Ground Temperatures,∆°C,depth 4.0 m,0.98,0.95,0.99,1.45,1.06,1.08,1.12,1.12,1.13,1.08,1.07,1.00
N6 Dry Bulb Temperature,∆°C,-,1.0047,0.9366,0.8370,0.5642,0.8734,1.3196,1.4328,1.4211,1.3957,1.0296,0.8943,0.8893
N7 Dew Point Temperature,∆°C,-,1.6522,0.8085,0.0928,0.2347,0.6085,0.6306,0.8027,0.4710,0.9332,0.5742,0.8044,0.8480
N8 Relative Humidity,∆%,-,4.4110,-0.5812,-3.8788,-1.6499,-1.1774,-2.9062,-2.7886,-4.3395,-2.0863,-2.4841,-0.3765,-0.0109
N9 Atmospheric Station Pressure,∆Pa,-,-78.2079,167.4905,179.8429,-173.7130,89.3726,73.0326,-34.2721,64.7443,15.4324,96.4826,354.0059,-155.7044
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,24.8659,27.2841,30.9467,19.9453,22.0553,32.5277,32.1233,30.7267,26.4649,27.1668,27.9159,24.3958
N13 Global Horizontal Radiation,∆Wh/m²,-,-0.3180,4.6536,9.4898,11.6955,9.2244,18.0292,8.6658,15.7807,9.1916,5.7082,1.3962,2.9005
N14 Direct Normal Radiation,∆Wh/m²,-,-6.1888,2.3092,11.8216,12.8392,6.9604,17.2820,8.6844,20.1229,8.8612,9.5987,0.2599,8.8232
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.0751,3.7793,3.8334,4.3786,2.8523,5.5719,0.9199,2.3203,3.8168,1.8579,1.4825,0.9323
N16 Global Horizontal Illuminance,∆lux,-,-31.6586,464.1530,965.9726,1206.3961,914.7652,1735.1732,930.4249,1614.6513,979.7502,577.4085,142.0555,293.6914
N17 Direct Normal Illuminance,∆lux,-,-560.1991,163.4542,1079.9638,1169.8238,795.4488,1713.1461,1007.7984,2090.0477,848.0960,847.7710,-63.9395,640.0357
N18 Diffuse Horizontal Illuminance,∆lux,-,107.3238,436.8411,479.2281,559.0902,231.8272,505.0769,-19.0124,214.7639,440.0509,231.2765,132.6806,128.3188
N19 Zenith Luminance,∆Cd/m²,-,48.2172,75.3460,22.2886,101.5672,167.5449,126.3257,-6.3464,35.6658,138.4440,40.9977,75.0613,8.4260
N21 Wind Speed,∆m/s,-,0.0933,-0.0221,-0.1730,0.0507,-0.0380,-0.1574,0.0532,-0.0238,-0.1314,0.0181,-0.0275,0.1297
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.9221,-1.0567,15.8927,0.3438,-0.0722,-0.0018,0.0000,-0.0004,-0.0380,-0.9407,-0.7398
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
