# Ensemble ssp245 2080
# Standard deviation (sd) columns are the standard deviation of the selected models in the Ensemble when the ensemble option is TRUE.
# Otherwise these are related to the month standard deviation obtained from the climate model.
Variable,Abbreviation,Unit,Jan,Jan (sd),Feb,Feb (sd),Mar,Mar (sd),Apr,Apr (sd),May,May (sd),Jun,Jun (sd),Jul,Jul (sd),Aug,Aug (sd),Sep,Sep (sd),Oct,Oct (sd),Nov,Nov (sd),Dec,Dec (sd)
Near surface air temperature,tas,∆°C,1.70,0.00,1.44,0.00,1.46,0.00,1.52,0.00,1.88,0.00,2.10,0.00,2.58,0.00,2.15,0.00,2.28,0.00,1.70,0.00,1.65,0.00,1.71,0.00
Daily maximum near surface air temperature,tasmax,∆°C,1.73,0.00,1.46,0.00,1.50,0.00,1.50,0.00,1.94,0.00,2.22,0.00,2.59,0.00,2.15,0.00,2.40,0.00,1.75,0.00,1.62,0.00,1.76,0.00
Daily minimum near surface air temperature,tasmin,∆°C,1.64,0.00,1.42,0.00,1.42,0.00,1.54,0.00,1.84,0.00,1.97,0.00,2.58,0.00,2.17,0.00,2.16,0.00,1.66,0.00,1.70,0.00,1.67,0.00
Precipitation,pr,fraction,1.14,0.00,0.98,0.00,1.05,0.00,1.05,0.00,0.93,0.00,0.86,0.00,1.06,0.00,0.73,0.00,0.88,0.00,1.07,0.00,0.96,0.00,1.44,0.00
Surface downwelling shortwave radiation,rsds,∆W/m²,-0.25,0.00,3.06,0.00,7.31,0.00,8.34,0.00,11.95,0.00,21.52,0.00,14.17,0.00,15.47,0.00,15.79,0.00,5.98,0.00,-0.25,0.00,3.08,0.00
Total cloud cover percentage,clt,∆%,0.94,0.00,-1.82,0.00,-1.45,0.00,-2.28,0.00,-1.76,0.00,-1.63,0.00,-0.97,0.00,-3.08,0.00,-2.29,0.00,-3.28,0.00,1.95,0.00,-3.17,0.00
Snow depth,snd,fraction,0.66,0.00,0.06,0.00,0.16,0.00,0.02,0.00,0.96,0.00,0.96,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.97,0.00,0.04,0.00,1.15,0.00
Near surface specific humidity,huss,∆kg/kg,0.000760,0.000000,0.000411,0.000000,0.000389,0.000000,0.000569,0.000000,0.000689,0.000000,0.000662,0.000000,0.000827,0.000000,0.000522,0.000000,0.000701,0.000000,0.000431,0.000000,0.000848,0.000000,0.000669,0.000000
Air pressure at mean sea level,psl,∆hPa,-0.80,0.00,1.71,0.00,0.70,0.00,-0.80,0.00,1.45,0.00,2.53,0.00,-0.14,0.00,1.07,0.00,2.26,0.00,-0.12,0.00,3.72,0.00,-3.79,0.00
Near surface wind speed,sfcWind,fraction,1.0683,0.0000,0.9855,0.0000,0.9971,0.0000,1.0633,0.0000,1.0137,0.0000,0.9603,0.0000,1.0252,0.0000,1.0155,0.0000,0.9347,0.0000,1.0574,0.0000,0.9725,0.0000,1.0941,0.0000
